4330887818865662|03|2026|907
4330887230017058|06|2024|617
4330885167850186|12|2024|777
4330882661071708|05|2024|116
4330883730780154|06|2027|213
4330883035183880|05|2025|418
4330888585711170|01|2027|927
4330881120561754|10|2027|248
4330880104063522|07|2027|579
4330885486220814|09|2025|709
4330881155536168|05|2027|892
4330881372145181|08|2026|599
4330887226504655|03|2027|327
4330886670330278|10|2026|354
4330880104010382|01|2023|549
4330881066147048|11|2027|742
4330881006322214|08|2025|599
4330885343178320|03|2023|447
4330883845000258|04|2024|809
4330888862573004|11|2025|331
4330881504787074|11|2025|740
4330887823838183|03|2027|380
4330880804110482|12|2027|199
4330888180814858|04|2025|747
4330883501433116|03|2023|825
4330880042132835|11|2027|251
4330884457321248|05|2025|643
4330881401286832|01|2024|656
4330883357764127|09|2023|299
4330881171482868|12|2025|530
4330886302774380|02|2026|647
4330883112031424|03|2025|400
4330886448664164|07|2027|371
4330882342500620|08|2024|883
4330880005122864|03|2026|197
4330885042645637|03|2026|529
4330884416433332|01|2024|849
4330886028123664|08|2024|980
4330881441666357|09|2025|609
4330882043872435|03|2024|434
4330885630105283|09|2025|741
4330887636381736|02|2025|833
4330880780400055|03|2025|116
4330883316721481|09|2026|773
4330883265765141|10|2026|881
4330880424745725|08|2025|756
4330883342087824|11|2027|532
4330883407651134|01|2024|667
4330884313805467|07|2025|599
4330888076305417|04|2026|816
4330887076102881|07|2026|921
4330885153512857|03|2026|995
4330887834775887|05|2027|555
4330888400163714|11|2027|555
4330881600785774|02|2023|673
4330884025154717|05|2025|997
4330882606400368|10|2025|514
4330885286772386|06|2024|564
4330887731330166|11|2027|220
4330882416457368|02|2025|247
4330880753462553|06|2026|505
4330887271517248|07|2024|514
4330883814120087|06|2026|457
4330888705301043|01|2026|611
4330885555640520|10|2023|218
4330888550132816|03|2025|933
4330886160251083|02|2025|199
4330887148063814|11|2024|983
4330880582383707|02|2025|152
4330887580210873|03|2025|121
4330880551778622|04|2023|234
4330882341131831|11|2024|852
4330888028874882|10|2025|431
4330880127523650|09|2026|272
4330882422035455|07|2027|389
4330880408462602|06|2024|795
4330881084440474|04|2023|711
4330880023336462|12|2025|588
4330881720886783|03|2026|566
4330885657223662|07|2027|722
4330882057407557|01|2023|469
4330888303234745|08|2026|828
4330881800587848|08|2027|237
4330884210664868|06|2025|382
4330885864738023|04|2025|431
